CustomerID,Recency,Frequency,Monetary,AvgOrderValue,PurchaseFrequency,AvgDaysBetweenPurchases,CLV
12346.0,326,1,77183.6,77183.6,1.0,0.0,77183.6
12347.0,2,7,4310.0,23.681318681318682,0.01912568306010929,2.0,4310.0
12348.0,75,4,1797.24,57.97548387096774,0.014134275618374558,9.4,1797.24
12349.0,19,1,1757.55,24.076027397260273,1.0,0.0,1757.55
12350.0,310,1,334.40000000000003,19.67058823529412,1.0,0.0,334.40000000000003
12352.0,36,8,2506.04,29.482823529411764,0.03065134099616858,3.0714285714285716,2506.04
12353.0,204,1,89.0,22.25,1.0,0.0,89.0
12354.0,232,1,1079.4,18.610344827586207,1.0,0.0,1079.4
12355.0,214,1,459.40000000000003,35.338461538461544,1.0,0.0,459.40000000000003
12356.0,23,3,2811.43,47.65135593220339,0.009900990099009901,5.206896551724138,2811.43
12357.0,33,1,6207.67,47.38679389312977,1.0,0.0,6207.67
12358.0,2,2,1168.06,61.47684210526315,0.013333333333333334,8.277777777777779,1168.06
12359.0,58,4,6372.58,25.695887096774193,0.014545454545454545,1.105263157894737,6372.58
12360.0,52,3,2662.06,20.63612403100775,0.020134228187919462,1.15625,2662.06
12361.0,287,1,189.9,18.990000000000002,1.0,0.0,189.9
12362.0,3,10,5226.2300000000005,19.64748120300752,0.034129692832764506,1.0830188679245283,5226.2300000000005
12363.0,110,2,552.0,24.0,0.015037593984962405,6.0,552.0
12364.0,8,4,1313.1,15.448235294117646,0.0380952380952381,1.2261904761904763,1313.1
12365.0,291,2,641.38,29.153636363636362,2.0,0.0,641.38
12367.0,4,1,168.9,15.354545454545455,1.0,0.0,168.9
12370.0,51,4,3545.69,21.231676646706585,0.012903225806451613,1.855421686746988,3545.69
12371.0,45,2,1887.96,29.96761904761905,0.13333333333333333,0.22580645161290322,1887.96
12372.0,72,3,1298.04,24.962307692307693,0.013333333333333334,4.392156862745098,1298.04
12373.0,311,1,364.6,26.042857142857144,1.0,0.0,364.6
12374.0,25,1,742.9300000000001,22.513030303030305,1.0,0.0,742.9300000000001
12375.0,11,2,457.5,26.91176470588235,0.022727272727272728,5.4375,457.5
12377.0,315,2,1628.1200000000001,21.144415584415587,0.05,0.5131578947368421,1628.1200000000001
12378.0,130,1,4008.62,18.30420091324201,1.0,0.0,4008.62
12379.0,82,2,852.24,21.306,0.02247191011235955,2.2564102564102564,852.24
12380.0,22,4,2724.81,26.200096153846154,0.024242424242424242,1.5728155339805825,2724.81
12381.0,5,5,1845.31,21.21045977011494,0.04310344827586207,1.313953488372093,1845.31
12383.0,185,5,1850.56,18.69252525252525,0.02976190476190476,1.683673469387755,1850.56
12384.0,29,2,585.27,21.676666666666666,0.021505376344086023,3.5384615384615383,585.27
12386.0,338,2,401.9,40.19,0.06666666666666667,3.2222222222222223,401.9
12388.0,16,6,2780.6600000000003,27.806600000000003,0.019230769230769232,3.121212121212121,2780.6600000000003
12390.0,80,1,549.84,17.1825,1.0,0.0,549.84
12391.0,22,1,460.89,4.6089,1.0,0.0,460.89
12393.0,72,4,1582.6000000000001,24.728125000000002,0.01532567049808429,4.111111111111111,1582.6000000000001
12394.0,64,2,1272.48,47.12888888888889,0.012987012987012988,5.884615384615385,1272.48
12395.0,19,12,3018.63,19.350192307692307,0.03409090909090909,2.232258064516129,3018.63
12397.0,36,2,2409.9,19.126190476190477,0.02,0.792,2409.9
12398.0,46,1,1635.6599999999999,19.24305882352941,1.0,0.0,1635.6599999999999
12399.0,119,4,1108.65,18.790677966101697,0.027972027972027972,2.4482758620689653,1108.65
12401.0,303,1,84.3,16.86,1.0,0.0,84.3
12402.0,323,1,225.60000000000002,20.50909090909091,1.0,0.0,225.60000000000002
12403.0,50,1,427.7,85.53999999999999,1.0,0.0,427.7
12405.0,149,1,1710.39,31.67388888888889,1.0,0.0,1710.39
12406.0,22,2,3415.3,32.52666666666667,0.012345679012345678,1.5480769230769231,3415.3
12407.0,50,5,1708.12,22.18337662337662,0.023255813953488372,2.789473684210526,1708.12
12408.0,33,5,2888.55,27.51,0.021929824561403508,2.173076923076923,2888.55
12409.0,79,3,11072.67,101.58412844036697,0.028846153846153848,0.9537037037037037,11072.67
12410.0,309,2,693.33,26.66653846153846,2.0,0.0,693.33
12412.0,75,3,1226.88,20.112786885245903,0.031578947368421054,1.55,1226.88
